"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Number of breakdowns not reported","S","S","S","S","S","S",".","S","S",".",".",".",".",".","."
"    No cooling equipment (A/C) breakdowns","6,692","505","511","433","519","476","466","843","636","473","399","304","261","139","726"
"    Cooling equipment (A/C) breakdowns not reported","S","S","S",".","S",".",".","S","S","S","S",".","S","S","."
"  Other causes","6,071","544","589","491","473","404","439","657","531","357","362","248","191","141","644"
"    Utility interruption","1,337","109","113","93","91","86","118","187","102","71","108","67","44","S","118"
"    Inadequate cooling capacity","2,649","283","258","234","214","177","178","272","217","141","143","113","77","50","293"
"    Leaking windows, doors, and walls","359","71","S","S","50","S","S","35","S","S","S","S","S","S","S"
"    Inadequate insulation","701","101","72","49","66","65","S","71","44","S","S","S","S","S","55"
"    Cost of cooling","711","122","85","S","S","58","S","56","61","S","S","S","S","S","52"
"    Other","1,522","122","152","121","124","86","96","120","157","76","86","49","S","S","213"
"    Not reported","S","S","S",".","S",".",".",".",".",".","S",".",".",".","."
"Discomfort not reported","1,050","112","55","71","95","83","76","146","123","S","S","48","S","S","57"
"","","","","","","","","","","","","","","",""
"Heat Risk","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"How well home stays cool without aid of cooling device:","","","","","","","","","","","","","","",""
"  Very well","40,146","3,270","2,891","3,074","2,997","3,018","2,789","4,736","3,729","2,984","2,372","1,728","1,255","861","4,441"
"  Somewhat well","44,883","2,831","2,941","2,909","3,055","2,811","2,982","5,728","4,562","3,562","3,019","2,331","1,642","1,234","5,274"
"  Not very well","20,343","1,137","1,116","1,187","1,617","1,525","1,361","2,457","2,114","1,734","1,266","1,006","742","603","2,477"
"  Not well at all","23,206","1,673","1,759","1,630","1,868","1,914","1,645","3,062","2,116","1,646","1,417","1,155","713","491","2,116"
"  Not reported","4,675","447","293","380","366","299","403","432","527","241","312","208","225","S","475"
"","","","","","","","","","","","","","","",""
"Exterior of unit shaded by trees or other buildings:","","","","","","","","","","","","","","",""
"  Yes","75,769","4,457","4,575","5,015","5,305","5,319","5,104","9,298","7,571","6,274","4,939","3,931","2,621","1,847","9,511"
"  No","54,030","4,540","4,249","3,941","4,283","4,019","3,788","6,784","5,030","3,700","3,237","2,372","1,776","1,354","4,957"
"  Not reported","3,453","361","176","224","316","229","290","333","447","193","209","125","181","S","315"
"","","","","","","","","","","","","","","",""
"Assessment of shade from trees and other buildings with 1/2 block:","","","","","","","","","","","","","","",""
"  Very shady","22,150","1,647","1,621","1,731","1,701","1,462","1,575","2,595","2,105","1,621","1,267","987","705","450","2,683"
"  Somewhat shady","63,375","3,954","3,975","4,049","4,706","4,538","4,227","8,335","6,042","5,059","3,985","3,290","2,180","1,647","7,386"
"  Not very shady","23,366","1,449","1,586","1,507","1,674","1,828","1,522","2,740","2,638","1,911","1,536","1,079","789","670","2,438"
"  Not at all shady","20,641","1,931","1,631","1,631","1,461","1,497","1,548","2,346","1,814","1,378","1,357","942","720","433","1,954"
"  Not reported","3,720","378","187","261","362","241","309","399","450","199","240","129","185","S","322"
"","","","","","","","","","","","","","","",""
