"","Household Income","","","","","","","","","",""
"  1 time","5,398","335","415","440","440","458","380","678","538","403","1,310"
"  2 times","2,232","142","165","213","214","131","187","277","181","203","519"
"  3 times","828","75","63","55","58","66","90","99","85","45","193"
"  4 times or more","1,242","112","136","98","118","105","92","154","113","62","254"
"","","","","","","","","","","",""
"Water Supply Stoppage","","","","","","","","","","",""
"","","","","","","","","","","",""
"      With hot and cold piped water","121,231","10,434","11,066","11,730","11,142","10,238","8,985","15,218","11,322","8,737","22,358"
"No stoppage in last 3 months","116,835","9,949","10,589","11,276","10,718","9,839","8,636","14,652","10,954","8,503","21,719"
"With stoppage in last 3 months","3,602","376","402","354","368","333","293","483","293","199","503"
"  No stoppage lasting 6 hours or more","722","66","76","78","71","53","55","102","64","49","110"
"  Number of stoppages that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,848","179","212","186","187","153","149","253","150","90","290"
"    2","497","52","59","41","52","65","41","67","47","S","45"
"    3","210","33","S","23","S","S","S","S","S","S","S"
"    4 or more","300","43","32","25","S","38","S","S","S","S","S"
"  Number of stoppages not reported","S","S","S","S","S","S",".","S",".",".","S"
"Stoppage not reported","794","109","76","100","56","66","57","82","75","36","137"
"","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","",""
"","","","","","","","","","","",""
"No leakage from inside structure","111,608","9,573","10,223","10,773","10,237","9,396","8,318","14,056","10,447","8,016","20,571"
"With leakage from inside structure","9,952","931","922","1,006","937","871","687","1,197","881","722","1,798"
"  Fixtures backed up or overflowed","2,307","258","227","214","168","182","182","273","246","157","399"
"  Pipes leaked","4,139","385","376","425","441","381","309","495","309","298","720"
"  Broken water heater","976","84","81","104","96","89","86","103","94","63","177"
"  Other or unknown (includes not reported)","3,088","285","302","334","278","267","158","377","274","220","592"
"","","","","","","","","","","",""
"No leakage from outside structure","109,238","9,487","10,050","10,511","10,061","9,169","8,094","13,624","10,150","7,811","20,281"
"With leakage from outside structure","12,322","1,016","1,095","1,269","1,113","1,097","911","1,628","1,178","926","2,089"
"  Roof","6,107","524","579","674","546","591","434","762","525","429","1,043"
"  Basement","3,167","169","196","249","235","236","284","510","431","294","562"
"  Walls, closed windows, or doors","2,478","277","253","264","242","261","148","268","176","163","425"
"  Other or unknown (includes not reported)","1,407","138","145","166","157","70","89","199","138","92","212"
"","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sagging roof","1,739","203","289","210","158","190","125","149","135","106","173"
"Missing roofing material","3,326","331","347","436","273","304","262","449","280","219","426"
"Hole in roof","1,352","172","206","181","117","173","92","145","97","49","120"
"Missing bricks, siding, or other outside wall material","2,556","303","313","280","198","243","171","327","239","126","358"
"Sloping outside walls","1,184","161","197","151","111","111","88","85","82","66","132"
"Boarded up windows","1,061","147","155","156","132","104","71","100","90","35","71"
"Broken windows","3,913","366","480","490","410","433","294","466","277","248","448"
"Bars on windows","2,319","280","218","325","236","213","196","304","209","89","250"
"Foundation crumbling or has open crack or hole","4,969","480","548","587","414","407","355","577","460","305","837"
"","","","","","","","","","","",""
"Mold","","","","","","","","","","",""
"","","","","","","","","","","",""
"      Housing units with mold in last 12 months","3,775","512","492","486","416","318","245","353","309","196","448"
"Kitchen","672","102","107","75","80","42","47","81","S","S","75"
"Bathroom(s)","1,628","254","228","200","205","149","120","128","118","70","157"
"Bedroom(s)","924","163","150","133","87","85","49","73","62","28","93"
"Living room","529","92","93","57","79","S","35","49","36","S","44"
"Basement","592","59","35","56","47","54","43","80","63","53","101"
"Other room","564","53","65","87","48","54","S","58","53","33","87"
"Not reported","848","118","88","107","58","60","60","99","76","43","138"
"","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"With public sewer","99,780","9,051","9,352","9,746","9,035","8,371","7,332","12,315","9,050","7,047","18,480"
"  No breakdowns in last 3 months","98,389","8,871","9,190","9,585","8,904","8,233","7,225","12,158","8,943","6,965","18,315"
"  With breakdown(s) in last 3 months","1,391","179","162","162","132","138","108","157","107","82","165"
"    No breakdowns lasting 6 hours or more","273","28","S","S","S","S","S","S","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","719","82","81","81","75","65","45","100","53","42","94"
"      2","226","42","S","S","S","S","S","S","S","S","S"
"      3","68","S","S","S","S","S","S","S","S","S","S"
"      4 or more","105","S","S","S","S","S","S","S","S","S","S"
"","","","","","","","","","","",""
"With septic tank or cesspool","21,718","1,443","1,785","2,035","2,132","1,899","1,671","2,924","2,272","1,692","3,865"
"  No breakdowns in last 3 months","21,421","1,410","1,736","2,009","2,107","1,870","1,642","2,874","2,260","1,683","3,830"
"  With breakdown(s) in last 3 months","297","S","48","S","S","S","29","50","S","S","34"
"    No breakdowns lasting 6 hours or more","57",".","S","S","S","S","S","S","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","195","S","25","S","S","S","S","26","S","S","S"
"      2","S","S","S","S",".","S",".",".","S",".","S"
"      3","S",".",".","S",".",".","S","S","S",".","."
"      4 or more","S","S","S","S",".",".",".","S",".",".","."
"","","","","","","","","","","",""
