"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","121,560","10,503","11,145","11,779","11,174","10,266","9,005","15,253","11,327","8,737","22,369"
"","","","","","","","","","","",""
"Housing Adequacy","","","","","","","","","","",""
"","","","","","","","","","","",""
"Severely inadequate","1,348","245","281","183","132","115","75","107","74","36","100"
"  Plumbing","417","92","111","62","32","S","S","37","S","S","S"
"  Heating","591","102","105","66","75","61","33","49","S","S","42"
"  Electric","136","S","S","S","S","S","S","S","S","S","20"
"  Wiring","31","S","S",".","S","S",".","S","S",".","S"
"  Upkeep","234","42","57","47","16","S","S","S","S","S","S"
"Moderately inadequate","4,648","699","703","633","508","369","278","453","292","235","480"
"  Upkeep","2,534","336","344","352","255","201","150","285","172","138","300"
"  Other","2,277","401","390","302","269","197","133","169","129","101","186"
"Adequate","115,564","9,559","10,160","10,963","10,535","9,783","8,652","14,693","10,962","8,466","21,790"
"","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","",""
"","","","","","","","","","","",""
"Signs of mice or rats inside home in last 12 months","15,615","1,503","1,571","1,548","1,564","1,385","1,103","1,976","1,406","994","2,564"
"Signs of cockroaches in last 12 months","15,301","1,847","1,844","1,802","1,586","1,381","1,160","1,744","1,131","816","1,990"
"Holes in floors","1,449","227","240","222","141","120","90","152","78","55","124"
"Open cracks or holes (interior)","6,600","864","803","793","614","587","493","746","514","348","838"
"Broken plaster or peeling paint (interior)","2,525","339","343","303","257","244","170","254","182","140","293"
"No electrical wiring","119","40","S","S","S","S","S","S","S","S","S"
"Exposed wiring","3,267","391","393","360","322","267","260","385","208","183","498"
"Rooms without electric outlets","2,094","340","271","231","202","146","149","214","131","94","316"
"","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With one or more flush toilets","121,439","10,474","11,101","11,757","11,174","10,266","8,998","15,240","11,327","8,734","22,369"
"With at least one toilet working at all times in last 3 months","119,122","10,125","10,783","11,452","10,946","10,059","8,831","14,983","11,172","8,614","22,156"
"None working some time in last 3 months","2,318","349","318","305","228","207","167","257","155","120","213"
"  No breakdowns lasting 6 hours or more","526","80","89","71","36","31","43","49","37","36","54"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,092","149","137","127","112","110","93","150","62","47","106"
"    2","331","58","41","59","S","S","S","36","S","S","S"
"    3","95","S","S","S","S","S","S","S","S","S","S"
"    4 or more","273","40","S","S","42","S","S","S","S","S","S"
"","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With heating equipment and occupied last winter","112,060","9,433","10,156","10,858","10,230","9,454","8,231","14,008","10,549","8,160","20,981"
"Not uncomfortably cold for 24 hours or more","105,073","8,505","9,227","10,070","9,527","8,841","7,789","13,205","10,008","7,818","20,083"
"Uncomfortably cold for 24 hours or more","6,987","928","929","788","703","614","442","803","541","342","897"
"  Equipment breakdowns","2,515","318","337","270","265","233","175","247","216","141","314"
"    No breakdowns lasting 6 hours or more","49","S","S","S","S",".","S","S","S",".","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","1,459","145","178","147","153","133","104","163","131","94","212"
"      2","417","58","53","55","31","39","S","S","40","S","S"
"      3","183","33","S","S","S","S","S","S","S","S","S"
"      4 or more","408","69","77","51","57","S","28","26","26","S","S"
"  Other causes","4,472","610","592","517","438","381","267","557","325","201","583"
"    Utility interruption","1,268","140","104","139","135","101","75","174","114","88","198"
"    Inadequate heating capacity","938","158","175","110","94","83","45","82","53","35","103"
"    Inadequate insulation","1,001","166","140","143","115","93","63","118","50","S","86"
"    Cost of heating","591","97","99","59","41","57","35","77","49","S","70"
"    Other","959","108","121","102","92","81","67","115","78","51","144"
"    Not reported","64","S","S","S","S",".",".","S","S","S","S"
"","","","","","","","","","","",""
"Electric Fuses and Circuit Breakers","","","","","","","","","","",""
"","","","","","","","","","","",""
"      With electrical wiring","121,441","10,463","11,132","11,765","11,160","10,263","9,005","15,236","11,323","8,734","22,359"
"No fuses or breakers blown in last 3 months","111,742","9,799","10,354","10,960","10,330","9,502","8,257","14,029","10,406","8,022","20,083"
"With fuses or breakers blown in last 3 months","9,699","664","778","805","830","760","748","1,207","918","712","2,276"
