"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","124,135","10,316","10,312","10,481","11,009","9,656","9,280","15,803","11,589","9,193","26,495"
"","","","","","","","","","","",""
"Housing Adequacy","","","","","","","","","","",""
"","","","","","","","","","","",""
"Severely inadequate","1,458","308","227","159","145","128","102","122","82","48","135"
"  Plumbing","405","130","78","48","S","S","S","S","S","S","S"
"  Heating","768","132","116","83","79","80","S","85","43","37","82"
"  Electric","116","S","S","S","S","S","S","S","S","S","S"
"  Wiring","S","S","S","S","S",".",".","S",".",".","S"
"  Upkeep","250","51","45","35","S","S","S","S","S","S","S"
"Moderately inadequate","4,500","649","680","582","518","396","290","477","218","231","459"
"  Upkeep","2,415","276","315","300","308","243","146","280","122","160","265"
"  Other","2,211","385","401","301","221","169","159","209","96","74","195"
"Adequate","118,177","9,359","9,405","9,740","10,345","9,132","8,888","15,204","11,290","8,914","25,900"
"","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","",""
"","","","","","","","","","","",""
"Signs of mice or rats inside home in last 12 months","14,787","1,300","1,347","1,471","1,518","1,108","1,132","1,734","1,388","1,028","2,761"
"Signs of cockroaches in last 12 months","13,994","1,606","1,587","1,421","1,504","1,155","1,018","1,670","1,028","848","2,157"
"Holes in floors","1,518","233","218","183","181","178","102","144","85","54","138"
"Open cracks or holes (interior)","6,761","770","794","740","721","590","529","812","468","387","949"
"Broken plaster or peeling paint (interior)","2,627","319","369","355","326","213","177","305","131","109","323"
"No electrical wiring","52","S","S","S","S",".",".","S","S","S","S"
"Exposed wiring","3,378","409","363","291","343","246","239","422","256","218","592"
"Rooms without electric outlets","2,376","326","282","267","252","170","186","284","161","134","311"
"","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With one or more flush toilets","124,045","10,283","10,298","10,472","11,009","9,647","9,276","15,802","11,582","9,192","26,485"
"With at least one toilet working at all times in last 3 months","121,916","10,008","10,034","10,218","10,739","9,438","9,134","15,553","11,479","9,087","26,227"
"None working some time in last 3 months","2,130","276","264","254","270","209","141","249","103","105","259"
"  No breakdowns lasting 6 hours or more","535","50","88","73","95","S","S","58","S","S","54"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,032","138","111","109","129","90","67","127","46","54","163"
"    2","253","37","S","S","S","55","S","S","S","S","S"
"    3","82","S","S","S","S","S","S","S","S","S","S"
"    4 or more","228","S","S","35","S","S","S","S","S","S","S"
"","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With heating equipment and occupied last winter","114,553","9,239","9,429","9,612","10,117","8,908","8,524","14,543","10,741","8,541","24,899"
"Not uncomfortably cold for 24 hours or more","107,040","8,373","8,524","8,750","9,318","8,387","7,969","13,725","10,159","8,059","23,776"
"Uncomfortably cold for 24 hours or more","7,513","865","905","862","799","521","555","818","582","483","1,124"
"  Equipment breakdowns","2,892","358","333","301","270","240","170","374","222","165","460"
"    No breakdowns lasting 6 hours or more","S",".","S","S","S","S","S","S",".","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","1,662","161","177","161","131","126","106","227","155","96","324"
"      2","412","66","40","48","54","S","S","47","24","S","44"
"      3","238","44","S","S","S","S","S","S","S","S","S"
"      4 or more","530","87","86","57","47","63","S","57","41","S","48"
"  Other causes","4,621","507","572","561","529","281","385","444","360","318","664"
"    Utility interruption","1,534","124","129","159","125","87","148","149","164","141","308"
"    Inadequate heating capacity","858","111","150","123","120","71","52","72","31","43","87"
"    Inadequate insulation","930","120","167","108","125","64","91","56","50","51","97"
"    Cost of heating","530","89","83","63","70","24","S","68","S","S","49"
"    Other","960","73","119","132","110","55","68","107","89","70","137"
"    Not reported","123","S","S","S","S","S","S","S","S","S","S"
"","","","","","","","","","","",""
"Electric Fuses and Circuit Breakers","","","","","","","","","","",""
"","","","","","","","","","","",""
"      With electrical wiring","124,083","10,295","10,303","10,477","11,004","9,656","9,280","15,802","11,585","9,188","26,492"
"No fuses or breakers blown in last 3 months","114,717","9,680","9,642","9,766","10,248","8,975","8,651","14,528","10,782","8,432","24,013"
"With fuses or breakers blown in last 3 months","9,366","616","661","712","756","681","629","1,274","803","755","2,479"
