"","Household Income","","","","","","","","","",""
"  1 time","5,111","336","346","373","368","370","367","725","459","381","1,384"
"  2 times","2,136","139","102","156","201","154","139","304","172","201","567"
"  3 times","852","52","68","60","77","85","45","106","78","75","206"
"  4 times or more","1,266","88","144","123","109","72","78","138","93","98","322"
"","","","","","","","","","","",""
"Water Supply Stoppage","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With hot and cold piped water","123,813","10,209","10,255","10,438","10,983","9,635","9,251","15,793","11,581","9,189","26,479"
"No stoppage in last 3 months","119,179","9,724","9,786","9,922","10,551","9,248","8,912","15,230","11,195","8,879","25,732"
"With stoppage in last 3 months","3,366","328","353","386","337","259","254","432","273","221","524"
"  No stoppage lasting 6 hours or more","640","67","88","84","60","45","S","64","59","70","89"
"  Number of stoppages that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,643","151","161","167","190","111","127","237","148","89","263"
"    2","533","39","48","71","44","56","55","51","33","S","106"
"    3","213","S","S","S","S","S","S","S","S","S","S"
"    4 or more","307","43","41","44","S","S","S","62","S","S","35"
"  Number of stoppages not reported","31","S","S","S","S","S","S","S",".",".","."
"Stoppage not reported","1,268","156","115","131","96","128","85","130","113","90","222"
"","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","",""
"","","","","","","","","","","",""
"No leakage from inside structure","114,693","9,583","9,383","9,554","10,179","8,879","8,514","14,551","10,838","8,516","24,695"
"With leakage from inside structure","9,442","733","929","927","830","777","766","1,252","751","677","1,799"
"  Fixtures backed up or overflowed","2,178","156","228","217","204","165","158","291","163","168","429"
"  Pipes leaked","3,988","334","407","415","333","314","294","520","366","270","735"
"  Broken water heater","875","53","90","95","70","95","84","124","77","41","146"
"  Other or unknown (includes not reported)","2,883","236","288","259","265","257","256","373","177","218","553"
"","","","","","","","","","","",""
"No leakage from outside structure","112,399","9,460","9,329","9,506","9,978","8,685","8,336","14,226","10,487","8,374","24,018"
"With leakage from outside structure","11,736","857","983","975","1,030","971","944","1,577","1,103","819","2,476"
"  Roof","5,511","450","536","506","508","473","463","708","432","368","1,068"
"  Basement","3,456","90","167","266","246","319","270","518","368","309","902"
"  Walls, closed windows, or doors","2,052","213","223","152","191","130","135","292","180","133","402"
"  Other or unknown (includes not reported)","1,436","136","135","115","135","118","122","186","146","64","278"
"","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sagging roof","1,673","237","209","177","229","145","134","168","112","114","148"
"Missing roofing material","3,317","352","356","361","349","254","233","468","270","184","490"
"Hole in roof","1,312","236","185","153","163","91","61","157","75","68","124"
"Missing bricks, siding, or other outside wall material","2,577","256","298","216","290","218","203","325","231","182","359"
"Sloping outside walls","1,047","195","143","106","97","109","87","140","46","62","61"
"Boarded up windows","976","135","144","131","107","84","73","121","46","S","115"
"Broken windows","3,583","382","392","361","417","305","293","453","272","180","527"
"Bars on windows","2,168","262","211","223","189","240","199","245","168","116","315"
"Foundation crumbling or has open crack or hole","4,775","464","463","407","399","362","391","672","385","354","877"
"","","","","","","","","","","",""
"Mold","","","","","","","","","","",""
"","","","","","","","","","","",""
"      Housing units with mold in last 12 months","3,664","435","469","443","393","299","275","398","245","151","554"
"Kitchen","647","96","131","64","80","51","42","62","S","S","81"
"Bathroom(s)","1,647","207","255","192","194","150","125","193","99","49","182"
"Bedroom(s)","892","140","151","139","110","51","58","69","46","S","96"
"Living room","473","77","83","51","59","S","34","66","S","S","43"
"Basement","675","62","S","76","44","52","54","54","63","47","171"
"Other room","532","55","47","40","43","S","S","92","42","S","122"
"Not reported","1,374","161","146","148","108","135","98","129","124","93","232"
"","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"With public sewer","103,738","9,113","8,649","8,705","9,091","8,087","7,747","13,116","9,360","7,647","22,222"
"  No breakdowns in last 3 months","102,520","8,962","8,526","8,575","8,935","7,989","7,661","13,000","9,255","7,581","22,037"
"  With breakdown(s) in last 3 months","1,218","151","123","130","156","98","87","116","105","66","185"
"    No breakdowns lasting 6 hours or more","188","S","S","S","S","S","S","S","S","S","27"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","613","61","59","52","75","36","43","80","56","S","117"
"      2","205","S","S","S","S","S","S","S","S","S","S"
"      3","62","S","S","S","S","S",".","S",".","S","S"
"      4 or more","149","24","S","S","S","S","S","S","S","S","S"
"","","","","","","","","","","",""
"With septic tank or cesspool","20,293","1,181","1,675","1,779","1,900","1,561","1,526","2,666","2,220","1,547","4,239"
"  No breakdowns in last 3 months","20,044","1,171","1,646","1,753","1,875","1,547","1,485","2,623","2,192","1,537","4,215"
"  With breakdown(s) in last 3 months","249","S","S","S","S","S","S","43","S","S","S"
"    No breakdowns lasting 6 hours or more","49",".","5","S","S",".","S","S","S",".","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","139","S","S","S","S","S","S","S","S","S","S"
"      2","S","S","S","S",".","S","S","S",".",".","S"
"      3","S",".",".",".",".",".","S","S",".",".","."
"      4 or more","S","S","S",".","S",".","S",".","S",".","."
"","","","","","","","","","","",""
