"","Household Income","","","","","","","","","",""
"","","","","","","","","","","",""
"      With electrical wiring","118,105","10,704","12,229","12,373","11,629","10,157","8,890","14,814","10,568","7,976","18,765"
"No fuses or breakers blown in last 3 months","106,829","9,839","11,249","11,318","10,568","9,208","8,007","13,372","9,539","7,194","16,536"
"With fuses or breakers blown in last 3 months","10,001","676","859","952","938","834","782","1,285","925","695","2,055"
"  1 time","5,294","315","444","494","510","410","430","707","487","390","1,106"
"  2 times","2,327","154","184","182","209","205","146","313","227","154","551"
"  3 times","948","74","93","81","92","66","77","118","111","61","175"
"  4 times or more","1,373","119","134","181","122","149","127","147","99","81","213"
"Number of times not reported","58","S","S","S","S","S","S",".",".","S","S"
"Problem not reported or don’t know","1,275","189","121","103","123","115","101","158","104","87","173"
"","","","","","","","","","","",""
"Water Supply Stoppage","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With hot and cold piped water","118,127","10,699","12,196","12,362","11,629","10,171","8,896","14,827","10,583","7,980","18,783"
"No stoppage in last 3 months","113,232","10,085","11,605","11,817","11,133","9,767","8,518","14,251","10,183","7,712","18,161"
"With stoppage in last 3 months","3,809","446","497","462","395","304","291","443","309","183","479"
"  No stoppage lasting 6 hours or more","770","61","108","82","73","56","57","109","76","31","117"
"  Number of stoppages that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,863","220","206","185","189","162","154","236","175","95","241"
"    2","580","59","94","83","77","54","45","38","34","S","63"
"    3","199","S","20","47","S","S","S","S","S","S","S"
"    4 or more","374","72","65","64","35","S","S","37","S","S","S"
"  Number of stoppages not reported","S","S","S",".","S","S",".","S","S","S","S"
"Stoppage not reported","1,086","169","94","83","101","99","88","133","92","86","142"
"","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","",""
"","","","","","","","","","","",""
"No leakage from inside structure","107,144","9,588","11,003","11,208","10,541","9,257","8,004","13,380","9,581","7,316","17,267"
"With leakage from inside structure","10,015","977","1,147","1,106","999","809","808","1,312","912","582","1,364"
"  Fixtures backed up or overflowed","2,409","216","268","256","218","208","183","357","225","136","342"
"  Pipes leaked","4,539","472","609","516","478","336","366","548","442","224","548"
"  Broken water heater","1,046","119","103","131","87","70","97","159","92","55","132"
"  Other or unknown (includes not reported)","2,661","269","275","273","278","244","198","358","201","191","374"
"Interior leakage not reported","1,131","176","95","84","100","110","97","137","94","85","153"
"","","","","","","","","","","",""
"No leakage from outside structure","105,379","9,514","10,948","11,046","10,307","9,104","7,913","13,223","9,508","7,115","16,701"
"With leakage from outside structure","11,765","1,055","1,195","1,261","1,225","970","891","1,469","984","782","1,934"
"  Roof","6,616","642","728","729","698","550","478","738","524","448","1,081"
"  Basement","2,535","138","186","203","214","188","226","392","300","200","488"
"  Walls, closed windows, or doors","2,394","237","261","285","264","222","184","271","151","153","366"
"  Other or unknown (includes not reported)","1,168","143","128","131","134","99","48","164","70","56","195"
"Exterior leakage not reported","1,146","170","103","91","107","102","104","137","95","85","150"
"","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sagging roof","2,164","323","303","289","229","188","122","254","158","99","200"
"Missing roofing material","3,283","391","404","398","269","307","239","407","263","218","387"
"Hole in roof","1,523","298","247","207","153","124","91","145","49","71","140"
"Missing bricks, siding, or other outside wall material","2,642","408","345","300","275","218","153","294","237","166","246"
"Sloping outside walls","1,255","231","200","145","127","99","79","145","89","48","92"
"Boarded up windows","1,187","215","159","176","138","109","67","124","84","49","66"
"Broken windows","4,314","537","580","544","453","367","304","547","305","218","458"
"Bars on windows","2,661","301","357","316","300","201","203","330","179","147","326"
"Foundation crumbling or has open crack or hole","6,095","574","597","735","630","571","463","752","524","405","844"
"None of the above","72,150","4,418","5,781","6,421","6,451","6,088","5,580","9,619","7,412","5,861","14,519"
"Not reported","242","S","S","S","S","S","S","31","S","S","47"
"","","","","","","","","","","",""
"Mold","","","","","","","","","","",""
"","","","","","","","","","","",""
"      Housing units with mold in last 12 months","4,302","612","650","569","471","378","279","458","281","205","401"
"Kitchen","680","111","149","102","69","38","35","48","39","45","44"
"Bathroom(s)","1,938","305","331","283","239","166","123","157","111","78","146"
"Bedroom(s)","1,123","182","178","165","146","95","68","100","59","49","81"
"Living room","564","125","82","93","47","51","S","50","S","32","S"
"Basement","713","73","66","98","63","60","52","100","59","46","97"
"Other room","544","65","67","61","42","51","36","80","45","S","71"
"Not reported","1,205","201","108","102","109","116","100","137","95","86","150"
"","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"With public sewer","94,062","9,035","9,967","9,985","9,151","8,057","7,005","11,484","8,228","6,301","14,850"
"  No breakdowns in last 3 months","92,680","8,815","9,747","9,835","9,025","7,936","6,920","11,324","8,162","6,216","14,700"
"  With breakdown(s) in last 3 months","1,382","220","220","150","126","121","85","160","65","84","150"
"    No breakdowns lasting 6 hours or more","223","29","39","S","S","S","S","22","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","732","98","98","74","56","90","49","80","39","59","90"
"      2","168","S","29","34","S","S","S","S","S","S","S"
"      3","80","S","S","S","S","S","S","S","S",".","S"
"      4 or more","178","45","42","S","S","S","S","S","S","S","S"
"","","","","","","","","","","",""
"With septic tank or cesspool","23,217","1,503","2,173","2,368","2,393","2,051","1,829","3,214","2,275","1,618","3,793"
"  No breakdowns in last 3 months","22,826","1,455","2,152","2,311","2,317","2,024","1,818","3,166","2,240","1,600","3,743"
"  With breakdown(s) in last 3 months","391","48","S","57","76","S","S","48","35","S","50"
"    No breakdowns lasting 6 hours or more","45","S",".","S","S","S","S",".","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","262","S","S","S","56","S","S","39","S","S","39"
"      2","43","S",".","S","S","S",".","S","S",".","S"
"      3","S","S",".",".",".","S","S","S",".","S","."
"      4 or more","S","S","S","S","S",".","S","S",".","S","."
"","","","","","","","","","","",""
