"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","118,290","10,740","12,245","12,398","11,639","10,176","8,909","14,829","10,587","7,982","18,784"
"","","","","","","","","","","",""
"Housing Adequacy","","","","","","","","","","",""
"","","","","","","","","","","",""
"Severely inadequate","1,502","314","296","210","125","135","78","133","65","40","103"
"  Plumbing","273","59","100","44","S","S","S","S","S","S","S"
"  Heating","851","158","140","111","79","78","52","96","37","S","79"
"  Electric","141","S","S","S","S","S","S","S","S","S","S"
"  Wiring","31","S","S","S","S","S","S",".",".",".","."
"  Upkeep","304","98","62","40","S","S","S","S","S","S","S"
"Moderately inadequate","5,177","859","800","718","619","438","349","512","308","203","371"
"  Upkeep","2,677","379","397","356","316","238","193","287","170","119","222"
"  Other","2,668","528","438","397","324","204","165","235","140","88","149"
"Adequate","111,611","9,567","11,149","11,469","10,895","9,602","8,482","14,184","10,213","7,740","18,310"
"","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","",""
"","","","","","","","","","","",""
"Signs of mice or rats inside home in last 12 months","13,257","1,294","1,485","1,408","1,337","1,245","930","1,627","1,138","818","1,975"
"Signs of cockroaches in last 12 months","14,011","1,860","1,903","1,690","1,616","1,307","970","1,553","990","660","1,461"
"Holes in floors","1,715","324","312","288","204","139","108","96","94","54","96"
"Open cracks or holes (interior)","7,393","943","1,026","912","796","706","509","825","528","405","744"
"Broken plaster or peeling paint (interior)","2,893","418","451","379","293","271","180","313","218","124","244"
"No electrical wiring","185","36","16","S","S","S","S","S","S","S","S"
"Exposed wiring","3,375","524","416","411","321","252","257","366","224","208","397"
"Rooms without electric outlets","2,740","401","380","362","317","218","216","304","140","100","302"
"","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With one or more flush toilets","118,162","10,708","12,204","12,368","11,638","10,162","8,904","14,829","10,586","7,982","18,781"
"With at least one toilet working at all times in last 3 months","114,625","10,144","11,687","11,940","11,264","9,798","8,648","14,497","10,344","7,817","18,486"
"None working some time in last 3 months","2,447","396","421","342","274","259","164","202","154","82","154"
"  No breakdowns lasting 6 hours or more","550","76","107","76","51","73","43","43","37","S","S"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"    1","1,200","156","200","168","146","121","74","111","88","45","92"
"    2","269","51","47","S","S","S","S","S","S","S","S"
"    3","84","S","S","18","S","S","S","S","S",".","S"
"    4 or more","309","100","46","52","S","S","S","S","S","S","S"
"  Number of breakdowns not reported","34","S","S",".","S",".","S","S",".",".","S"
"Breakdowns not reported","1,091","168","96","87","101","105","93","129","88","83","140"
"","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With heating equipment and occupied last winter","112,089","9,894","11,429","11,660","10,957","9,686","8,479","14,063","10,109","7,661","18,153"
"Not uncomfortably cold for 24 hours or more","100,922","8,459","9,948","10,383","9,740","8,612","7,709","12,838","9,271","7,071","16,890"
"Uncomfortably cold for 24 hours or more","9,653","1,213","1,308","1,137","1,070","927","668","1,063","698","488","1,081"
"  Equipment breakdowns","3,394","434","457","386","371","325","219","424","220","169","388"
"    No breakdowns lasting 6 hours or more","61","S","S","S","S","S","S","S","S","S","S"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","1,885","208","244","203","197","182","122","249","150","97","232"
"      2","552","58","57","61","82","46","34","70","S","48","68"
"      3","265","50","34","42","S","S","S","S","S","S","S"
"      4 or more","586","109","106","69","56","59","29","59","S","S","61"
"    Number of breakdowns not reported","S","S","S","S","S","S","S","S","S",".","."
"  Other causes","6,226","754","849","751","698","597","448","638","477","319","694"
"    Utility interruption","1,398","94","174","145","121","125","96","166","145","117","216"
"    Inadequate heating capacity","1,493","252","270","194","141","135","104","123","119","47","109"
"    Inadequate insulation","1,514","195","227","215","191","151","101","151","103","49","131"
"    Cost of heating","1,020","125","146","142","120","111","65","113","83","36","78"
"    Other","1,379","159","130","149","173","118","116","163","94","78","199"
"    Not reported","S","S","S","S","S",".","S",".","S","S","."
"  Reason for discomfort not reported","S","S","S","S",".","S","S",".",".",".","."
"Discomfort not reported","1,514","222","172","140","147","146","102","163","140","102","181"
"","","","","","","","","","","",""
"Electric Fuses and Circuit Breakers","","","","","","","","","","",""
