"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"Stoppage not reported","1,264","214","119","162","118","147","62","142","101","73","127"
"","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","",""
"","","","","","","","","","","",""
"No leakage from inside structure","106,562","10,329","11,280","12,812","10,561","9,257","7,976","13,224","9,235","6,631","15,258"
"With leakage from inside structure","7,928","838","862","992","794","800","535","893","668","447","1,098"
"  Fixtures backed up or overflowed","1,937","220","168","250","208","219","124","194","198","124","233"
"  Pipes leaked","3,283","364","423","443","306","298","187","376","250","188","450"
"  Broken water heater","820","46","79","102","76","99","71","117","76","24","130"
"  Other or unknown (includes not reported)","2,233","234","251","246","248","213","172","241","185","125","318"
"Interior leakage not reported","1,361","243","136","163","119","155","71","159","104","74","137"
"","","","","","","","","","","",""
"No leakage from outside structure","105,061","10,230","11,104","12,684","10,488","9,209","7,776","13,014","9,099","6,515","14,942"
"With leakage from outside structure","9,454","947","1,038","1,126","872","850","734","1,099","806","562","1,420"
"  Roof","4,843","565","610","601","445","426","342","525","357","242","729"
"  Basement","2,440","133","203","223","247","230","247","341","280","185","351"
"  Walls, closed windows, or doors","1,844","205","214","208","180","163","134","194","144","119","284"
"  Other or unknown (includes not reported)","1,036","123","91","161","64","76","82","133","81","56","169"
"Exterior leakage not reported","1,337","232","136","157","113","154","73","163","104","76","131"
"","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sagging roof","1,487","195","260","230","167","79","120","166","85","60","125"
"Missing roofing material","2,868","294","355","356","313","242","205","393","226","139","345"
"Hole in roof","1,012","207","176","128","91","79","58","96","63","30","83"
"Missing bricks, siding, or other outside wall material","1,882","192","266","227","253","162","143","199","151","91","199"
"Sloping outside walls","859","152","150","104","90","75","59","80","59","33","56"
"Boarded up windows","752","127","122","111","80","59","23","106","67","29","28"
"Broken windows","2,932","369","441","448","339","272","195","323","199","87","260"
"Bars on windows","2,792","379","369","391","297","238","222","283","212","137","265"
"Foundation crumbling or has open crack or hole","3,445","330","407","434","348","294","301","462","274","227","369"
"None of the above","73,910","4,846","5,998","8,005","6,725","6,444","5,682","9,910","7,347","5,579","13,373"
"Not reported","309","38","34","40","28","29","27","34","22","23","34"
"","","","","","","","","","","",""
"Sewage Disposal Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"With public sewer","94,323","9,910","10,210","11,367","9,206","8,320","6,843","11,658","7,841","5,693","13,275"
"  No breakdowns in last 3 months","93,135","9,768","10,049","11,181","9,083","8,196","6,759","11,520","7,753","5,638","13,188"
"  With breakdown(s) in last 3 months","1,188","142","161","185","123","124","84","138","88","55","87"
"    No breakdowns lasting 6 hours or more","230","24","36","27","27","23","25","22","23","5","19"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","647","58","81","95","66","78","40","78","46","48","57"
"      2","178","34","24","36","20","16","9","16","14",".","8"
"      3","35","8","4","7",".","2","5","7",".","3","."
"      4 or more","99","18","17","20","11","5","5","15","5",".","3"
"","","","","","","","","","","",""
"With septic tank or cesspool","21,498","1,489","2,061","2,594","2,267","1,892","1,732","2,618","2,167","1,460","3,219"
"  No breakdowns in last 3 months","21,228","1,482","2,037","2,533","2,245","1,875","1,710","2,594","2,145","1,432","3,175"
"  With breakdown(s) in last 3 months","270","7","24","61","22","17","22","24","22","28","43"
"    No breakdowns lasting 6 hours or more","53",".","2","10","2",".","7","8","2","5","15"
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","157","4","12","37","20","11","13","10","13","13","25"
"      2","35","3","3","12",".","3",".","5","4","6","1"
"      3","10",".","6",".",".",".","2",".",".","2","."
"      4 or more","15",".","2","2",".","3",".",".","2","2","2"
"","","","","","","","","","","",""
