"","Household Income","","","","","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
"No fuses or breakers blown in last 3 months","118,203","9,634","9,576","10,199","9,749","9,667","8,219","14,852","11,049","8,884","6,589","4,983","3,288","2,314","9,199"
"With fuses or breakers blown in last 3 months","10,209","700","735","748","761","573","651","1,286","950","789","608","565","319","310","1,213"
"  1 time","5,446","346","322","343","443","321","332","676","517","486","344","340","165","176","636"
"  2 times","2,288","162","182","221","135","92","158","289","177","178","132","120","101","62","278"
"  3 times","1,010","60","89","64","82","53","60","104","128","60","38","41","S","S","158"
"  4 times or more","1,465","132","141","120","101","107","102","217","128","66","94","64","S","32","141"
"","","","","","","","","","","","","","","",""
"Water Supply Stoppage","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"        With hot and cold piped water","128,160","10,278","10,277","10,923","10,488","10,211","8,852","16,112","11,992","9,647","7,193","5,547","3,607","2,623","10,408"
"No stoppage in last 3 months","122,898","9,709","9,772","10,456","10,089","9,674","8,535","15,378","11,545","9,359","6,929","5,360","3,490","2,537","10,066"
"With stoppage in last 3 months","4,448","485","416","413","354","472","259","635","367","224","196","159","110","75","283"
"  No stoppage lasting 6 hours or more","701","60","50","79","46","75","49","89","78","42","S","S","S","S","50"
"  Number of stoppages that lasted 6 hours or more:","","","","","","","","","","","","","","",""
"    1","2,070","233","158","177","164","223","102","310","181","96","112","71","53","44","144"
"    2","663","48","92","40","50","95","55","85","45","34","S","S","S","S","41"
"    3","300","S","S","64","S","S","S","49","S","S","S","S","S","S","S"
"    4 or more","664","105","74","52","57","50","35","92","58","S","S","S","S","S","S"
"  Number of stoppages not reported","49","S","S",".","S","S","S","S",".","S",".",".","S","S","."
"Stoppage not reported","814","84","90","54","S","66","58","99","80","64","S","S","S","S","59"
"","","","","","","","","","","","","","","",""
"Water Leakage During Last 12 Months","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"No leakage from inside structure","118,033","9,452","9,435","10,014","9,594","9,312","8,159","14,988","10,971","9,064","6,676","5,083","3,298","2,423","9,563"
"With leakage from inside structure","10,471","924","883","935","922","937","717","1,158","1,032","614","525","465","309","201","849"
"  Fixtures backed up or overflowed","2,566","193","236","217","215","249","207","257","254","126","115","123","97","45","231"
"  Pipes leaked","4,439","384","387","412","380","381","272","547","396","270","224","202","100","98","385"
"  Broken water heater","994","93","91","65","96","99","57","118","101","51","48","S","S","S","89"
"  Other or unknown (includes not reported)","3,042","317","247","296","278","275","224","293","321","200","147","118","109","41","178"
"","","","","","","","","","","","","","","",""
"No leakage from outside structure","117,060","9,490","9,343","9,947","9,534","9,267","8,023","14,669","10,966","8,922","6,580","5,062","3,276","2,428","9,554"
"With leakage from outside structure","11,444","886","975","1,002","982","982","853","1,477","1,037","756","621","486","332","196","858"
"  Roof","5,722","511","527","523","521","509","425","711","519","339","284","216","159","72","407"
"  Basement","2,900","130","182","198","164","253","229","404","314","255","211","163","79","72","245"
"  Walls, closed windows, or doors","2,311","213","251","193","201","202","159","320","196","134","99","80","55","S","166"
"  Other or unknown (includes not reported)","1,364","95","106","176","129","79","103","174","129","70","59","51","52","S","107"
"","","","","","","","","","","","","","","",""
"External Building Conditions","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Sagging roof","1,951","236","243","176","187","176","98","236","157","119","93","68","S","44","86"
"Missing roofing material","3,331","350","318","307","290","304","219","401","286","238","173","116","74","69","185"
"Hole in roof","1,487","249","220","180","142","160","64","170","80","69","S","28","S","S","52"
"Missing bricks, siding, or other outside wall material","2,757","271","290","240","288","307","171","369","253","146","124","77","56","57","108"
"Sloping outside walls","1,277","142","175","138","127","146","98","128","101","42","59","S","S","S","71"
"Boarded up windows","1,275","207","196","155","133","102","86","150","72","58","43","S","S","S","S"
"Broken windows","4,363","432","428","427","419","451","295","571","363","336","156","125","75","66","218"
"Bars on windows","2,511","254","229","295","210","237","190","356","212","135","86","51","54","50","153"
"Foundation crumbling or has open crack or hole","5,049","461","403","477","436","478","381","614","500","335","237","152","136","93","348"
"","","","","","","","","","","","","","","",""
"Mold","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"      Housing units with mold in last 12 months","3,828","525","443","452","347","381","352","403","248","208","143","101","55","33","138"
"Kitchen","780","145","98","85","68","93","88","103","S","S","S","S","S","S","S"
"Bathroom(s)","1,887","282","235","233","174","221","169","175","120","93","51","40","S","S","54"
"Bedroom(s)","949","166","129","122","74","94","83","100","68","38","S","S","S","S","S"
"Living room","560","125","80","82","47","64","41","39","S","S","S","S","S","S","S"
"Basement","455","S","40","41","S","51","S","61","S","S","S","S","S","S","S"
"Other room","603","93","43","59","57","36","62","58","51","48","41","S","S","S","S"
"Not reported","953","113","110","65","53","78","66","122","88","65","S","S","S","S","63"
"","","","","","","","","","","","","","","",""
"Tobacco Smoke Inside the Home","","","","","","","","","","","","","","",""
