"","Household Income","","","","","","","","","",""
"","Total","Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 or more"
"Characteristics","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate","Estimate"
"      Total","114,833","11,537","12,743","14,274","11,843","10,119","8,645","14,118","9,840","6,849","14,865"
"","","","","","","","","","","",""
"Selected Physical Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"Severe physical problems","2,111","378","368","376","260","119","138","206","114","59","92"
"  Plumbing","1,437","269","229","248","190","93","100","142","82","28","57"
"  Heating","593","95","122","114","64","24","27","59","27","31","29"
"  Electric","66","9","8","14","4","2","10","12","3",".","4"
"  Upkeep","74","21","14","14","11",".","4","3","3",".","3"
"","","","","","","","","","","",""
"Moderate physical problems","4,154","852","818","607","513","363","218","338","191","84","170"
"  Plumbing","218","35","41","21","27","22","23","27","7","3","12"
"  Heating","1,038","234","254","152","143","94","54","44","42","9","12"
"  Upkeep","1,185","231","209","172","168","84","57","117","42","23","83"
"  Kitchen","1,834","389","342","273","196","170","84","163","102","50","65"
"","","","","","","","","","","",""
"Selected Deficiencies","","","","","","","","","","",""
"","","","","","","","","","","",""
"Signs of rats in last 12 months","1,139","188","186","137","119","94","78","104","91","46","96"
"Signs of mice in last 12 months","12,644","1,272","1,457","1,516","1,383","1,112","920","1,602","1,151","635","1,596"
"Signs of rodents, not sure which kind in last 12 months","691","117","114","85","63","65","38","70","52","21","65"
"Signs of cockroaches in last 12 months","13,105","2,045","2,007","1,808","1,433","1,180","923","1,225","785","544","1,154"
"Holes in floors","1,164","259","208","178","140","79","38","88","60","33","82"
"Open cracks or holes (interior)","5,841","868","892","772","709","521","344","674","361","256","443"
"Broken plaster or peeling paint (interior)","2,311","365","347","312","303","183","136","254","139","81","190"
"No electrical wiring","170","23","32","57","15","5","10","10","8","4","5"
"Exposed wiring","1,824","286","276","245","169","134","113","216","133","83","170"
"Rooms without electric outlets","741","125","114","103","72","59","44","70","76","27","51"
"","","","","","","","","","","",""
"Flush Toilet Breakdowns","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With one or more flush toilets","114,709","11,505","12,710","14,260","11,828","10,119","8,642","14,107","9,828","6,849","14,862"
"With at least one toilet working at all times in last 3 months","111,466","10,939","12,249","13,826","11,453","9,871","8,436","13,768","9,620","6,719","14,586"
"None working some time in last 3 months","2,079","382","345","283","237","154","146","195","109","67","161"
"  No breakdowns lasting 6 hours or more","595","85","101","96","78","43","54","35","35","23","45"
"  Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"    1","992","192","151","137","114","80","52","98","53","36","78"
"    2","219","54","45","21","15","8","10","28","11","4","23"
"    3","52","4","10","3","13","7","10","2","3",".","."
"    4 or more","199","40","33","21","18","15","20","29","7","4","12"
"  Number of breakdowns not reported","22","6","4","5",".",".","1","2",".",".","4"
"Breakdowns not reported","1,163","183","116","152","138","94","60","145","99","63","115"
"","","","","","","","","","","",""
"Heating Problems","","","","","","","","","","",""
"","","","","","","","","","","",""
"        With heating equipment and occupied last winter","104,347","9,765","11,259","12,787","10,615","9,170","7,896","13,070","9,269","6,460","14,055"
"Not uncomfortably cold for 24 hours or more","92,959","8,174","9,657","11,230","9,355","8,219","7,123","11,853","8,474","5,936","12,938"
"Uncomfortably cold for 24 hours or more","9,129","1,186","1,328","1,246","1,034","752","641","966","626","434","916"
"  Equipment breakdowns","2,602","385","373","396","281","191","147","286","200","136","208"
"    No breakdowns lasting 6 hours or more","41","8","6","8","5","3",".","10","1",".","."
"    Number of breakdowns that lasted 6 hours or more:","","","","","","","","","","",""
"      1","1,535","217","181","212","168","119","94","168","132","91","153"
"      2","410","59","61","60","43","37","22","49","40","14","26"
"      3","189","25","41","22","24","10","10","20","12","13","12"
"      4 or more","404","69","81","92","40","15","18","39","15","18","17"
"    Number of breakdowns not reported","23","5","4","3",".","8","3",".",".",".","."
"  Other causes","6,720","834","990","864","784","571","497","713","437","307","723"
"    Utility interruption","2,154","183","239","201","255","162","175","264","202","142","330"
"    Inadequate heating capacity","1,291","222","249","144","154","154","80","116","49","42","80"
"    Inadequate insulation","1,178","177","186","242","136","115","64","117","48","31","62"
"    Cost of heating","1,105","150","200","132","121","101","69","99","55","54","122"
"    Other","1,504","200","219","205","178","105","126","164","103","51","151"
"    Not reported","18","7","2","2",".",".","3",".","3",".","1"
"  Reason for discomfort not reported","39","11","4","8","2","5","8",".",".","1","."
